Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
ASM2882945v1	GCA_028829455.1	GCF_028829455.1	Penicillium robsamsonii		IBT 29466					Annotation submitted by Aalborg University	29159420	Contig	2023-02-23	JAQJAW01	12
ASM2882945v1	GCF_028829455.1	GCA_028829455.1	Penicillium robsamsonii		IBT 29466					Annotation submitted by Aalborg University	29159420	Contig	2023-02-23	JAQJAW01	12
ASM2882844v1	GCA_028828445.1	GCF_028828445.1	Penicillium paradoxum		IBT 22861					Annotation submitted by Aalborg University	28923777	Contig	2023-02-23	JAQJAS01	6
ASM2882844v1	GCF_028828445.1	GCA_028828445.1	Penicillium paradoxum		IBT 22861					Annotation submitted by Aalborg University	28923777	Contig	2023-02-23	JAQJAS01	6
ASM2882977v1	GCA_028829775.1	GCF_028829775.1	Penicillium samsonianum		IBT 33392					Annotation submitted by Aalborg University	38201884	Contig	2023-02-23	JAQJZT01	11
ASM2882977v1	GCF_028829775.1	GCA_028829775.1	Penicillium samsonianum		IBT 33392					Annotation submitted by Aalborg University	38201884	Contig	2023-02-23	JAQJZT01	11
ASM2882724v1	GCA_028827245.1	GCF_028827245.1	Penicillium angulare		IBT 27051					Annotation submitted by Aalborg University	37782843	Contig	2023-02-23	JAPZBL01	12
ASM2882724v1	GCF_028827245.1	GCA_028827245.1	Penicillium angulare		IBT 27051					Annotation submitted by Aalborg University	37782843	Contig	2023-02-23	JAPZBL01	12
ASM2882684v1	GCA_028826845.1	GCF_028826845.1	Penicillium canariense		IBT 26290					Annotation submitted by Aalborg University	31521451	Contig	2023-02-23	JAPQKN01	9
ASM2882684v1	GCF_028826845.1	GCA_028826845.1	Penicillium canariense		IBT 26290					Annotation submitted by Aalborg University	31521451	Contig	2023-02-23	JAPQKN01	9
ASM2882764v1	GCA_028827645.1		Penicillium hetheringtonii		IBT 29057					Annotation submitted by Aalborg University	31629319	Contig	2023-02-23	JAQJAC01	10
ASM2882946v1	GCA_028829465.1	GCF_028829465.1	Penicillium soppii		IBT 18220					Annotation submitted by Aalborg University	32085433	Contig	2023-02-23	JAQKAI01	8
ASM2882946v1	GCF_028829465.1	GCA_028829465.1	Penicillium soppii		IBT 18220					Annotation submitted by Aalborg University	32085433	Contig	2023-02-23	JAQKAI01	8
ASM2882769v1	GCA_028827695.1	GCF_028827695.1	Penicillium maclennaniae		IBT 15551					Annotation submitted by Aalborg University	27935234	Contig	2023-02-23	JAQJAJ01	8
ASM2882769v1	GCF_028827695.1	GCA_028827695.1	Penicillium maclennaniae		IBT 15551					Annotation submitted by Aalborg University	27935234	Contig	2023-02-23	JAQJAJ01	8
ASM177332v1	GCA_001773325.1	GCF_001773325.1	Penicillium arizonense		CBS 141311					Annotation submitted by Chalmers University of Technology	33729052	Scaffold	2016-10-18	LXJU01	396
ASM177332v1	GCF_001773325.1	GCA_001773325.1	Penicillium arizonense		CBS 141311					Annotation submitted by Chalmers University of Technology	33729052	Scaffold	2016-10-18	LXJU01	396
ASM2756967v1	GCA_027569675.1		Penicillium crystallinum		NRRL 5082						27069658	Contig	2023-01-04	JAPDKR01	208
ASM2882703v1	GCA_028827035.1	GCF_028827035.1	Penicillium chrysogenum		IBT 35668					Annotation submitted by Aalborg University	32379777	Contig	2023-02-23	JAPQKU01	4
ASM2882703v1	GCF_028827035.1	GCA_028827035.1	Penicillium chrysogenum		IBT 35668					Annotation submitted by Aalborg University	32379777	Contig	2023-02-23	JAPQKU01	4
ASM76974v1	GCA_000769745.1	GCF_000769745.1	Penicillium expansum		MD-8					Annotation submitted by Center for Genomic Regulation (CRG)	32356048	Contig	2014-10-28	JQFZ01	382
ASM76974v1	GCF_000769745.1	GCA_000769745.1	Penicillium expansum		MD-8					Annotation submitted by Center for Genomic Regulation (CRG)	32356048	Contig	2014-10-28	JQFZ01	382
ASM211630v1	GCA_002116305.1		Penicillium italicum		GL-Gan1						31026583	Scaffold	2017-05-01	LWEC01	358
ASM1553377v1	GCA_015533775.1	GCF_015533775.1	Penicillium roqueforti		LCP96 04111					Annotation submitted by Utrecht University	26941230	Scaffold	2020-11-17	JABCSE01	83
ASM1553377v1	GCF_015533775.1	GCA_015533775.1	Penicillium roqueforti		LCP96 04111					Annotation submitted by Utrecht University	26941230	Scaffold	2020-11-17	JABCSE01	83
ASM2882715v1	GCA_028827155.1	GCF_028827155.1	Penicillium citrinum		IBT 23319					Annotation submitted by Aalborg University	31396546	Contig	2023-02-23	JAPQKT01	12
ASM2882715v1	GCF_028827155.1	GCA_028827155.1	Penicillium citrinum		IBT 23319					Annotation submitted by Aalborg University	31396546	Contig	2023-02-23	JAPQKT01	12
ASM2756941v1	GCA_027569415.1		Penicillium janthinellum		NRRL 35451						34457699	Contig	2023-01-04	JAPDFA01	311
ASM2882740v1	GCA_028827405.1	GCF_028827405.1	Penicillium crustosum		IBT 35664					Annotation submitted by Aalborg University	32953279	Contig	2023-02-23	JAPZBV01	11
ASM2882740v1	GCF_028827405.1	GCA_028827405.1	Penicillium crustosum		IBT 35664					Annotation submitted by Aalborg University	32953279	Contig	2023-02-23	JAPZBV01	11
wengan_M_CN111	GCA_911649655.1		Penicillium sclerotiorum								34772153	Contig	2021-09-14	CAJVRJ01	10
ASM156193v1	GCA_001561935.1	GCF_001561935.1	Penicillium griseofulvum		PG3					Annotation submitted by University of Turin	29140916	Contig	2016-02-16	LHQR01	92
ASM156193v1	GCF_001561935.1	GCA_001561935.1	Penicillium griseofulvum		PG3					Annotation submitted by University of Turin	29140916	Contig	2016-02-16	LHQR01	92
Pbras_Allpaths-LG	GCA_001048715.1		Penicillium brasilianum							Annotation submitted by HKI JENA	35888622	Scaffold	2015-07-01	CDHK01	87
ASM2882802v1	GCA_028828025.1	GCF_028828025.1	Penicillium rubens		IBT 27055					Annotation submitted by Aalborg University	30336503	Contig	2023-02-23	JAQKAF01	4
ASM2882802v1	GCF_028828025.1	GCA_028828025.1	Penicillium rubens		IBT 27055					Annotation submitted by Aalborg University	30336503	Contig	2023-02-23	JAQKAF01	4
ASM2882755v1	GCA_028827555.1	GCF_028827555.1	Penicillium brevicompactum		IBT 35665					Annotation submitted by Aalborg University	34726155	Contig	2023-02-23	JAPZBP01	9
ASM2882755v1	GCF_028827555.1	GCA_028827555.1	Penicillium brevicompactum		IBT 35665					Annotation submitted by Aalborg University	34726155	Contig	2023-02-23	JAPZBP01	9
ASM2882975v1	GCA_028829755.1	GCF_028829755.1	Penicillium solitum		IBT 25940					Annotation submitted by Aalborg University	33256298	Contig	2023-02-23	JAQKAH01	8
ASM2882975v1	GCF_028829755.1	GCA_028829755.1	Penicillium solitum		IBT 25940					Annotation submitted by Aalborg University	33256298	Contig	2023-02-23	JAQKAH01	8
ASM2882865v1	GCA_028828655.1	GCF_028828655.1	Penicillium verrucosum		IBT 35672					Annotation submitted by Aalborg University	32831822	Contig	2023-02-23	JAQKAO01	8
ASM2882865v1	GCF_028828655.1	GCA_028828655.1	Penicillium verrucosum		IBT 35672					Annotation submitted by Aalborg University	32831822	Contig	2023-02-23	JAQKAO01	8
ASM2882887v1	GCA_028828875.1		Penicillium capsulatum		IBT 29712					Annotation submitted by Aalborg University	27651227	Contig	2023-02-23	JAQJZR01	9
ASM5232351v1	GCA_052323515.1		Penicillium biforme		LCP05531						38044968	Contig	2025-08-28	JBNLVZ01	8
PcamFM013r2_polished	GCA_014839975.1		Penicillium camemberti		FM013=LCP06093						35346490	Contig	2020-09-30	JACXYV01	56
Ppaxilli_v.1.0	GCA_000347475.1		Penicillium paxilli ATCC 26601		ATCC 26601						34802463	Scaffold	2013-03-19	AOTG01	420
ASM1997785v1	GCA_019977855.1		Penicillium aurantiogriseum		IBT 35659						32600911	Contig	2021-09-14	JAFCIW01	4
ASM2612273v1	GCA_026122735.1		Penicillium bialowiezense		A30						31166888	Contig	2022-11-10	JAKZFB01	43
ASM2882876v1	GCA_028828765.1	GCF_028828765.1	Penicillium canescens		IBT 15451					Annotation submitted by Aalborg University	46284494	Contig	2023-02-23	JAQJZN01	15
ASM2882876v1	GCF_028828765.1	GCA_028828765.1	Penicillium canescens		IBT 15451					Annotation submitted by Aalborg University	46284494	Contig	2023-02-23	JAQJZN01	15
ASM2470658v1	GCA_024706585.1		Penicillium simplicissimum		A4						38963051	Contig	2022-08-17	JAMZTW01	196
ASM3076282v1	GCA_030762825.1		Penicillium turbatum		BLH34						28026804	Contig	2023-08-16	JAUJYX01	20
Pols_LCP05357	GCA_911174995.1		Penicillium olsonii							Annotation submitted by University Paris-Sud	29373279	Scaffold	2022-09-22	CAJVNO01	95
UFV_RLS11_1.0	GCA_022985105.1		Penicillium ochrochloron		RLS11						38188369	Scaffold	2022-04-14	JAAVMA01	724
ASM5357280v1	GCA_053572805.1		Penicillium commune		MS0214						35973054	Contig	2025-11-21	JBNLIS01	171
ASM238285v1	GCA_002382855.1		Penicillium occitanis (nom. inval.)		CL100					Annotation submitted by Center for Genomic Regulation (CRG)	36251488	Contig	2017-09-27	NPFK01	1591
Pnal_ESE00252	GCA_911456355.1		Penicillium nalgiovense							Annotation submitted by University Paris-Sud	34560068	Contig	2022-09-22	CAJVRB01	41
ASM2882828v1	GCA_028828285.1		Penicillium majusculum		IBT 35410					Annotation submitted by Aalborg University	33834515	Contig	2023-02-23	JAQJAL01	6
ASM2882714v1	GCA_028827145.1	GCF_028827145.1	Penicillium concentricum		IBT 3081					Annotation submitted by Aalborg University	29963931	Contig	2023-02-23	JAPZBT01	6
ASM2882714v1	GCF_028827145.1	GCA_028827145.1	Penicillium concentricum		IBT 3081					Annotation submitted by Aalborg University	29963931	Contig	2023-02-23	JAPZBT01	6
ASM2882818v1	GCA_028828185.1		Penicillium viridicatum		IBT 34249					Annotation submitted by Aalborg University	32834375	Contig	2023-02-23	JAQKAP01	6
ASM2882958v1	GCA_028829585.1	GCF_028829585.1	Penicillium vulpinum		IBT 29486					Annotation submitted by Aalborg University	31511571	Contig	2023-02-23	JAQKAQ01	6
ASM2882958v1	GCF_028829585.1	GCA_028829585.1	Penicillium vulpinum		IBT 29486					Annotation submitted by Aalborg University	31511571	Contig	2023-02-23	JAQKAQ01	6
ASM2882738v1	GCA_028827385.1		Penicillium freii		IBT 34325					Annotation submitted by Aalborg University	35356366	Contig	2023-02-23	JAQIZX01	6
ASM2882983v1	GCA_028829835.1	GCF_028829835.1	Penicillium mononematosum		IBT 11891					Annotation submitted by Aalborg University	30158902	Contig	2023-02-23	JAQJZX01	4
ASM2882983v1	GCF_028829835.1	GCA_028829835.1	Penicillium mononematosum		IBT 11891					Annotation submitted by Aalborg University	30158902	Contig	2023-02-23	JAQJZX01	4
ASM2882846v1	GCA_028828465.1	GCF_028828465.1	Penicillium psychrosexuale		IBT 29551					Annotation submitted by Aalborg University	27827857	Contig	2023-02-23	JAQJAT01	8
ASM2882846v1	GCF_028828465.1	GCA_028828465.1	Penicillium psychrosexuale		IBT 29551					Annotation submitted by Aalborg University	27827857	Contig	2023-02-23	JAQJAT01	8
ASM2882737v1	GCA_028827375.1		Penicillium desertorum		IBT 17660					Annotation submitted by Aalborg University	33986870	Contig	2023-02-23	JAPWDO01	14
ASM2882824v1	GCA_028828245.1		Penicillium lividum		IBT 13676					Annotation submitted by Aalborg University	34532832	Contig	2023-02-23	JAQJAG01	11
ASM5194442v1	GCA_051944425.1		Penicillium adametzioides		FBCC-F1417						40469361	Contig	2025-08-12	JBEBMI01	12
ASM2882739v1	GCA_028827395.1	GCF_028827395.1	Penicillium hordei		IBT 12815					Annotation submitted by Aalborg University	33792161	Contig	2023-02-23	JAQJAE01	6
ASM2882739v1	GCF_028827395.1	GCA_028827395.1	Penicillium hordei		IBT 12815					Annotation submitted by Aalborg University	33792161	Contig	2023-02-23	JAQJAE01	6
ASM2882677v1	GCA_028826775.1	GCF_028826775.1	Penicillium argentinense		IBT 30761					Annotation submitted by Aalborg University	33838379	Contig	2023-02-23	JAPQKI01	11
ASM2882677v1	GCF_028826775.1	GCA_028826775.1	Penicillium argentinense		IBT 30761					Annotation submitted by Aalborg University	33838379	Contig	2023-02-23	JAPQKI01	11
ASM2882855v1	GCA_028828555.1	GCF_028828555.1	Penicillium taxi		IBT 34144					Annotation submitted by Aalborg University	27925195	Contig	2023-02-23	JAQKAL01	6
ASM2882855v1	GCF_028828555.1	GCA_028828555.1	Penicillium taxi		IBT 34144					Annotation submitted by Aalborg University	27925195	Contig	2023-02-23	JAQKAL01	6
ASM2882804v1	GCA_028828045.1	GCF_028828045.1	Penicillium odoratum		IBT 22623					Annotation submitted by Aalborg University	32405987	Contig	2023-02-23	JAQJAR01	7
ASM2882804v1	GCF_028828045.1	GCA_028828045.1	Penicillium odoratum		IBT 22623					Annotation submitted by Aalborg University	32405987	Contig	2023-02-23	JAQJAR01	7
ASM2882976v1	GCA_028829765.1	GCF_028829765.1	Penicillium waksmanii		IBT 27052					Annotation submitted by Aalborg University	37575496	Contig	2023-02-23	JAQKAR01	10
ASM2882976v1	GCF_028829765.1	GCA_028829765.1	Penicillium waksmanii		IBT 27052					Annotation submitted by Aalborg University	37575496	Contig	2023-02-23	JAQKAR01	10
ASM2882808v1	GCA_028828085.1	GCF_028828085.1	Penicillium nucicola		IBT 29836					Annotation submitted by Aalborg University	31087567	Contig	2023-02-23	JAQJAQ01	17
ASM2882808v1	GCF_028828085.1	GCA_028828085.1	Penicillium nucicola		IBT 29836					Annotation submitted by Aalborg University	31087567	Contig	2023-02-23	JAQJAQ01	17
ASM2882752v1	GCA_028827525.1	GCF_028827525.1	Penicillium daleae		IBT 16125					Annotation submitted by Aalborg University	39657045	Contig	2023-02-23	JAPVEA01	10
ASM2882752v1	GCF_028827525.1	GCA_028827525.1	Penicillium daleae		IBT 16125					Annotation submitted by Aalborg University	39657045	Contig	2023-02-23	JAPVEA01	10
ASM2882789v1	GCA_028827895.1	GCF_028827895.1	Penicillium longicatenatum		IBT 33135					Annotation submitted by Aalborg University	32457776	Contig	2023-02-23	JAQJAH01	7
ASM2882789v1	GCF_028827895.1	GCA_028827895.1	Penicillium longicatenatum		IBT 33135					Annotation submitted by Aalborg University	32457776	Contig	2023-02-23	JAQJAH01	7
ASM2882827v1	GCA_028828275.1		Penicillium frequentans		IBT 35677					Annotation submitted by Aalborg University	38045409	Contig	2023-02-23	JAQIZY01	15
ASM2882702v1	GCA_028827025.1	GCF_028827025.1	Penicillium cataractarum		IBT 29864					Annotation submitted by Aalborg University	37446941	Contig	2023-02-23	JAPZBS01	11
ASM2882702v1	GCF_028827025.1	GCA_028827025.1	Penicillium cataractarum		IBT 29864					Annotation submitted by Aalborg University	37446941	Contig	2023-02-23	JAPZBS01	11
ASM2882801v1	GCA_028828015.1	GCF_028828015.1	Penicillium pulvis		IBT 33274					Annotation submitted by Aalborg University	32647626	Contig	2023-02-23	JAQJAU01	8
ASM2882801v1	GCF_028828015.1	GCA_028828015.1	Penicillium pulvis		IBT 33274					Annotation submitted by Aalborg University	32647626	Contig	2023-02-23	JAQJAU01	8
ASM5061344v1	GCA_050613445.1		Penicillium koreense		GX2						35464682	Contig	2025-05-29	JBNBZU01	13
ASM2882716v1	GCA_028827165.1	GCF_028827165.1	Penicillium cosmopolitanum		IBT 29677					Annotation submitted by Aalborg University	40034523	Contig	2023-02-23	JAPZBU01	13
ASM2882716v1	GCF_028827165.1	GCA_028827165.1	Penicillium cosmopolitanum		IBT 29677					Annotation submitted by Aalborg University	40034523	Contig	2023-02-23	JAPZBU01	13
ASM2882967v1	GCA_028829675.1		Penicillium tannophilum		IBT 21756					Annotation submitted by Aalborg University	32107691	Contig	2023-02-23	JAQKAK01	12
ASM2882685v1	GCA_028826855.1	GCF_028826855.1	Penicillium coprophilum		IBT 35676					Annotation submitted by Aalborg University	29014640	Contig	2023-02-23	JAPQKM01	7
ASM2882685v1	GCF_028826855.1	GCA_028826855.1	Penicillium coprophilum		IBT 35676					Annotation submitted by Aalborg University	29014640	Contig	2023-02-23	JAPQKM01	7
ASM2882800v1	GCA_028828005.1	GCF_028828005.1	Penicillium manginii		IBT 31320					Annotation submitted by Aalborg University	38623079	Contig	2023-02-23	JAQJAP01	14
ASM2882800v1	GCF_028828005.1	GCA_028828005.1	Penicillium manginii		IBT 31320					Annotation submitted by Aalborg University	38623079	Contig	2023-02-23	JAQJAP01	14
ASM2897408v1	GCA_028974085.1	GCF_028974085.1	Penicillium chermesinum		IBT 19713					Annotation submitted by Aalborg University	27581382	Contig	2023-02-23	JAPQKS01	10
ASM2897408v1	GCF_028974085.1	GCA_028974085.1	Penicillium chermesinum		IBT 19713					Annotation submitted by Aalborg University	27581382	Contig	2023-02-23	JAPQKS01	10
ASM5120039v1	GCA_051200395.1		Penicillium mexicanum		MUM 23.42						29591196	Contig	2025-07-03	JBHZOJ01	21
ASM2897406v1	GCA_028974065.1	GCF_028974065.1	Penicillium cinerascens		IBT 15544					Annotation submitted by Aalborg University	29467041	Contig	2023-02-23	JAPQKR01	16
ASM2897406v1	GCF_028974065.1	GCA_028974065.1	Penicillium cinerascens		IBT 15544					Annotation submitted by Aalborg University	29467041	Contig	2023-02-23	JAPQKR01	16
ASM4033314v1	GCA_040333145.1		Penicillium brefeldianum		F032						33894595	Contig	2024-06-26	JBEBNH01	8
ASM3003563v1	GCA_030035635.1		Penicillium parvum		4-14b						25766470	Contig	2023-05-18	JAPJNL01	8
ASM2882773v1	GCA_028827735.1	GCF_028827735.1	Penicillium macrosclerotiorum		IBT 26536					Annotation submitted by Aalborg University	33645934	Contig	2023-02-23	JAQJAK01	12
ASM2882773v1	GCF_028827735.1	GCA_028827735.1	Penicillium macrosclerotiorum		IBT 26536					Annotation submitted by Aalborg University	33645934	Contig	2023-02-23	JAQJAK01	12
ASM2882726v1	GCA_028827265.1	GCF_028827265.1	Penicillium atrosanguineum		IBT 20685					Annotation submitted by Aalborg University	28612168	Contig	2023-02-23	JAPZBN01	8
ASM2882726v1	GCF_028827265.1	GCA_028827265.1	Penicillium atrosanguineum		IBT 20685					Annotation submitted by Aalborg University	28612168	Contig	2023-02-23	JAPZBN01	8
ASM2897420v1	GCA_028974205.1	GCF_028974205.1	Penicillium antarcticum		IBT 31339					Annotation submitted by Aalborg University	30836278	Contig	2023-02-23	JAPZBM01	11
ASM2897420v1	GCF_028974205.1	GCA_028974205.1	Penicillium antarcticum		IBT 31339					Annotation submitted by Aalborg University	30836278	Contig	2023-02-23	JAPZBM01	11
ASM2882766v1	GCA_028827665.1	GCF_028827665.1	Penicillium hispanicum		IBT 35686					Annotation submitted by Aalborg University	27868179	Contig	2023-02-23	JAQJAD01	9
ASM2882766v1	GCF_028827665.1	GCA_028827665.1	Penicillium hispanicum		IBT 35686					Annotation submitted by Aalborg University	27868179	Contig	2023-02-23	JAQJAD01	9
ASM2882767v1	GCA_028827675.1	GCF_028827675.1	Penicillium lagena		IBT 129212					Annotation submitted by Aalborg University	27859125	Contig	2023-02-23	JAQJAF01	9
ASM2882767v1	GCF_028827675.1	GCA_028827675.1	Penicillium lagena		IBT 129212					Annotation submitted by Aalborg University	27859125	Contig	2023-02-23	JAQJAF01	9
ASM2882819v1	GCA_028828195.1	GCF_028828195.1	Penicillium verhagenii		IBT 33310					Annotation submitted by Aalborg University	32288599	Contig	2023-02-23	JAQKAM01	12
ASM2882819v1	GCF_028828195.1	GCA_028828195.1	Penicillium verhagenii		IBT 33310					Annotation submitted by Aalborg University	32288599	Contig	2023-02-23	JAQKAM01	12
ASM2882849v1	GCA_028828495.1	GCF_028828495.1	Penicillium riverlandense		IBT 135883					Annotation submitted by Aalborg University	27919989	Contig	2023-02-23	JAQJAV01	8
ASM2882849v1	GCF_028828495.1	GCA_028828495.1	Penicillium riverlandense		IBT 135883					Annotation submitted by Aalborg University	27919989	Contig	2023-02-23	JAQJAV01	8
ASM2882754v1	GCA_028827545.1	GCF_028827545.1	Penicillium diatomitis		IBT 30728					Annotation submitted by Aalborg University	33965862	Contig	2023-02-23	JAPWDQ01	19
ASM2882754v1	GCF_028827545.1	GCA_028827545.1	Penicillium diatomitis		IBT 30728					Annotation submitted by Aalborg University	33965862	Contig	2023-02-23	JAPWDQ01	19
ASM2882691v1	GCA_028826915.1	GCF_028826915.1	Penicillium bovifimosum		IBT 22155					Annotation submitted by Aalborg University	27188871	Contig	2023-02-23	JAPQKL01	9
ASM2882691v1	GCF_028826915.1	GCA_028826915.1	Penicillium bovifimosum		IBT 22155					Annotation submitted by Aalborg University	27188871	Contig	2023-02-23	JAPQKL01	9
ASM2882696v1	GCA_028826965.1	GCF_028826965.1	Penicillium alfredii		IBT 34128					Annotation submitted by Aalborg University	27430394	Contig	2023-02-23	JAPMSZ01	11
ASM2882696v1	GCF_028826965.1	GCA_028826965.1	Penicillium alfredii		IBT 34128					Annotation submitted by Aalborg University	27430394	Contig	2023-02-23	JAPMSZ01	11
ASM1841014v1	GCA_018410145.1		Penicillium corylophilum		F5_1S_1A_F						28229796	Scaffold	2021-05-19	JAGUQL01	53
CTC_F1880_1.0	GCA_011392555.1		Penicillium rolfsii		F1880					Annotation submitted by Embrapa Agroenergia	32363941	Scaffold	2020-03-17	QMFL01	27
ASM2008669v1	GCA_020086695.1		Penicillium sumatraense		AQ67100						36393065	Scaffold	2021-09-21	JAGIKU01	4510
ASM4033331v2	GCA_040333315.2		Penicillium raperi		F027						35597123	Scaffold	2024-11-01	JBEBNJ02	193
ASM3704098v1	GCA_037040985.1		Penicillium glabrum		DX136-07W						34082500	Scaffold	2024-03-06	JAXQHR01	436
ASM1558578v1	GCA_015585785.1		Penicillium dipodomyicola		IIF7SW-F2						32111153	Scaffold	2020-11-18	JACSOR01	431
ASM2756958v1	GCA_027569585.1		Penicillium silybi		G85						26976508	Contig	2023-01-04	JAPDFI01	138
ASM1558603v1	GCA_015586035.1		Penicillium griseoroseum		IF3SW-F1						32029139	Scaffold	2020-11-18	JACSPC01	559
ASM3704388v1	GCA_037043885.1		Penicillium goetzii		LH_A469						35921107	Contig	2024-03-06	JAWLST01	267
Pglandicola_3C_v2	GCA_902713505.1		Penicillium glandicola					3C		Annotation submitted by UNIVERSITY OF TURIN	28393573	Contig	2025-02-20	CACTIM02	232
Psal_DTO309-F9	GCA_911197225.1		Penicillium salamii							Annotation submitted by University Paris-Sud	31295745	Scaffold	2022-09-22	CAJVOY01	164
ASM207236v1	GCA_002072365.1		Penicillium flavigenum		IBT 14082					Annotation submitted by Chalmers University of Technology	32903267	Scaffold	2017-03-24	MLQL01	260
ASM3704400v1	GCA_037044005.1		Penicillium fructuariae-cellae		LH_A412						34656616	Contig	2024-03-06	JAWLSY01	462
PS_2648	GCA_018340795.1		Penicillium steckii		P2648						33404627	Scaffold	2021-05-11	JADDUG01	952
ASM1919035v1	GCA_019190355.1		Penicillium palitans		F6_7S_1C_F						36471119	Scaffold	2021-07-09	JAHAQQ01	794
Ppancosmium_FP1_v2	GCA_902713525.1		Penicillium pancosmium					FP10		Annotation submitted by UNIVERSITY OF TURIN	36229496	Scaffold	2025-02-20	CACTIP02	652
UCS_PECM_1.0	GCA_014839625.1		Penicillium ucsense		S1M29					Annotation submitted by Universidade de Caxias do Sul	30406053	Scaffold	2020-10-02	WIWV01	673
ASM2281316v1	GCA_022813165.1		Penicillium caseifulvum		FKI-L3-CM-P1						35881231	Scaffold	2022-04-04	JAKLNB01	824
ASM2558681v1	GCA_025586815.1		Penicillium glycyrrhizacola		CGMCC 3.15273						30945552	Scaffold	2022-10-05	JANFQT01	629
Pdiscolor_3B6_v2	GCA_902713485.1		Penicillium discolor					3B6		Annotation submitted by UNIVERSITY OF TURIN	33414722	Scaffold	2025-02-20	CACTIL02	1169
PnBFE487-1.0	GCA_000733025.2		Penicillium nordicum		UASWS BFE487						30392820	Contig	2015-07-10	JNNR01	914
Penicillium_sclerotigenum_IBT15061	GCA_928213465.1		Penicillium sclerotigenum								29850579	Contig	2022-02-09	CAKMRK01	1519
Pegy_LCP06446	GCA_911456345.1		Penicillium egyptiacum							Annotation submitted by University Paris-Sud	32674410	Scaffold	2022-09-22	CAJVRC01	909
ASM3014218v1	GCA_030142185.1		Penicillium thymicola		DAOM 180753					Annotation submitted by Agriculture and Agri-Food Canada	33877935	Scaffold	2023-05-31	LACB01	2167
PCARLCP05634_20131217	GCA_000577495.1		Penicillium carneum LCP05634		LCP05634						25936550	Scaffold	2014-02-20	CBXS01	2090
